AverageDiscountedReturn,AvgTrajLen,StdReturn,MinReturn,CurStdMean,AverageReturn,Iteration,NumTrajs,MaxReturn
12.6847388343,13.8788927336,13.8788927336,8.0,1.18857592417,13.8788927336,0,289,124.0
12.385368332,13.4247491639,13.4247491639,8.0,1.32396982875,13.4247491639,1,299,68.0
12.9000467154,14.0559440559,14.0559440559,8.0,1.41985515667,14.0559440559,2,286,58.0
12.4685287556,13.6326530612,13.6326530612,8.0,1.49037032675,13.6326530612,3,294,77.0
11.9811236866,12.961414791,12.961414791,8.0,1.54373110378,12.961414791,4,311,52.0
13.4554626777,15.1094339623,15.1094339623,8.0,1.57356077976,15.1094339623,5,265,156.0
13.3366575241,14.7252747253,14.7252747253,8.0,1.59663103747,14.7252747253,6,273,107.0
12.6966403438,13.7835051546,13.7835051546,8.0,1.60059467041,13.7835051546,7,291,52.0
14.1612834106,15.811023622,15.811023622,8.0,1.61259728361,15.811023622,8,254,90.0
13.6836173513,15.0943396226,15.0943396226,8.0,1.6192310223,15.0943396226,9,265,73.0
13.0742605294,14.3884892086,14.3884892086,8.0,1.62363179928,14.3884892086,10,278,84.0
14.9950909716,17.2017167382,17.2017167382,8.0,1.6415341276,17.2017167382,11,233,110.0
14.1118157663,15.8339920949,15.8339920949,8.0,1.6299071564,15.8339920949,12,253,131.0
13.9851350361,15.6201550388,15.6201550388,8.0,1.6166203414,15.6201550388,13,258,114.0
14.6467850578,16.3469387755,16.3469387755,8.0,1.59242342072,16.3469387755,14,245,76.0
15.4864648094,17.7256637168,17.7256637168,8.0,1.58314070742,17.7256637168,15,226,124.0
15.6655900668,17.8839285714,17.8839285714,8.0,1.58915280299,17.8839285714,16,224,126.0
15.9770490028,18.4884792627,18.4884792627,8.0,1.58044292022,18.4884792627,17,217,111.0
18.237426643,21.6486486486,21.6486486486,8.0,1.57568194603,21.6486486486,18,185,167.0
18.3048284101,21.7243243243,21.7243243243,8.0,1.58202001528,21.7243243243,19,185,126.0
17.3006829527,20.2070707071,20.2070707071,8.0,1.55404964556,20.2070707071,20,198,120.0
18.4544446749,22.138121547,22.138121547,8.0,1.54178446157,22.138121547,21,181,200.0
18.7062065964,21.9617486339,21.9617486339,8.0,1.52650476554,21.9617486339,22,183,103.0
18.0201478086,21.8097826087,21.8097826087,8.0,1.52986848841,21.8097826087,23,184,200.0
17.2693356188,20.7720207254,20.7720207254,8.0,1.51374101992,20.7720207254,24,193,200.0
15.8405939227,19.023364486,19.023364486,8.0,1.49498507071,19.023364486,25,214,188.0
17.2187422879,20.8697916667,20.8697916667,8.0,1.49079382989,20.8697916667,26,192,200.0
18.56873036,22.75,22.75,8.0,1.4875387156,22.75,27,176,160.0
17.4682999801,21.0314136126,21.0314136126,8.0,1.47127839766,21.0314136126,28,191,200.0
16.2338192404,19.4514563107,19.4514563107,8.0,1.47225621313,19.4514563107,29,206,173.0
18.5255631142,23.0747126437,23.0747126437,8.0,1.45456925468,23.0747126437,30,174,194.0
21.3031480285,28.6142857143,28.6142857143,8.0,1.45387875171,28.6142857143,31,140,200.0
23.4656473102,33.6083333333,33.6083333333,8.0,1.44399890812,33.6083333333,32,120,200.0
22.7126764695,31.8888888889,31.8888888889,8.0,1.43455152501,31.8888888889,33,126,200.0
24.9059981557,35.7410714286,35.7410714286,8.0,1.42133583275,35.7410714286,34,112,200.0
23.8675568889,33.8151260504,33.8151260504,8.0,1.38743776951,33.8151260504,35,119,200.0
28.5457404977,47.0941176471,47.0941176471,8.0,1.36760977517,47.0941176471,36,85,200.0
25.5925352349,41.5643564356,41.5643564356,8.0,1.36933608386,41.5643564356,37,101,200.0
26.4980776479,40.9285714286,40.9285714286,8.0,1.37678671487,40.9285714286,38,98,200.0
22.1290680457,34.2478632479,34.2478632479,8.0,1.35948270777,34.2478632479,39,117,200.0
31.5349111311,51.075,51.075,8.0,1.35698461098,51.075,40,80,200.0
30.1729258918,53.0897435897,53.0897435897,8.0,1.33279675039,53.0897435897,41,78,200.0
33.3849597422,61.0,61.0,8.0,1.3298953848,61.0,42,67,200.0
41.1486917143,77.1923076923,77.1923076923,8.0,1.33146324141,77.1923076923,43,52,200.0
27.7338849875,49.0365853659,49.0365853659,8.0,1.31373236881,49.0365853659,44,82,200.0
29.5824168207,49.3827160494,49.3827160494,8.0,1.30217651328,49.3827160494,45,81,200.0
