MinReturn,CurStdMean,AverageReturn,Iteration,AvgTrajLen,AverageDiscountedReturn,MaxReturn,StdReturn
8.0,1.0,14.9033457249,0,14.9033457249,-13.548146615,97.0,14.9033457249
8.0,1.0,14.325,1,14.325,-13.126351918,69.0,14.325
8.0,1.0,14.7970479705,2,14.7970479705,-13.5209096415,53.0,14.7970479705
8.0,1.0,15.66015625,3,15.66015625,-14.1611387997,96.0,15.66015625
8.0,1.0,16.2145748988,4,16.2145748988,-14.6810267228,61.0,16.2145748988
8.0,1.0,17.9508928571,5,17.9508928571,-15.6469392443,156.0,17.9508928571
8.0,1.0,20.5538461538,6,20.5538461538,-17.7565760125,126.0,20.5538461538
8.0,1.0,21.4126984127,7,21.4126984127,-18.4830584321,138.0,21.4126984127
8.0,1.0,21.75,8,21.75,-18.5170163999,132.0,21.75
8.0,1.0,23.2068965517,9,23.2068965517,-19.7491762118,115.0,23.2068965517
8.0,1.0,24.4518072289,10,24.4518072289,-20.6200306669,103.0,24.4518072289
8.0,1.0,24.1807228916,11,24.1807228916,-20.2331872222,141.0,24.1807228916
8.0,1.0,29.4779411765,12,29.4779411765,-24.1816632424,114.0,29.4779411765
9.0,1.0,25.8774193548,13,25.8774193548,-21.8204206168,94.0,25.8774193548
8.0,1.0,33.7983193277,14,33.7983193277,-26.290622223,152.0,33.7983193277
8.0,1.0,31.5354330709,15,31.5354330709,-25.071994531,146.0,31.5354330709
8.0,1.0,38.1333333333,16,38.1333333333,-28.9831778307,197.0,38.1333333333
8.0,1.0,36.2695652174,17,36.2695652174,-27.5930895099,200.0,36.2695652174
8.0,1.0,35.4424778761,18,35.4424778761,-27.5886215518,142.0,35.4424778761
8.0,1.0,36.8256880734,19,36.8256880734,-28.8329707626,128.0,36.8256880734
9.0,1.0,36.6818181818,20,36.6818181818,-28.728356322,128.0,36.6818181818
8.0,1.0,33.6639344262,21,33.6639344262,-25.7451814389,190.0,33.6639344262
9.0,1.0,36.0707964602,22,36.0707964602,-27.4492236486,200.0,36.0707964602
9.0,1.0,30.1481481481,23,30.1481481481,-23.6371091004,200.0,30.1481481481
8.0,1.0,29.4705882353,24,29.4705882353,-23.3439947553,155.0,29.4705882353
8.0,1.0,33.7394957983,25,33.7394957983,-25.4983667179,200.0,33.7394957983
8.0,1.0,30.2255639098,26,30.2255639098,-23.7925367287,184.0,30.2255639098
8.0,1.0,40.31,27,40.31,-29.3305402705,167.0,40.31
8.0,1.0,42.7368421053,28,42.7368421053,-31.6336509161,157.0,42.7368421053
9.0,1.0,47.7380952381,29,47.7380952381,-33.5159892387,200.0,47.7380952381
9.0,1.0,48.7176470588,30,48.7176470588,-33.2839130964,200.0,48.7176470588
8.0,1.0,44.0760869565,31,44.0760869565,-30.8520526307,200.0,44.0760869565
10.0,1.0,49.1097560976,32,49.1097560976,-33.8668328961,200.0,49.1097560976
12.0,1.0,57.2253521127,33,57.2253521127,-38.528866522,200.0,57.2253521127
9.0,1.0,65.9672131148,34,65.9672131148,-40.8584153527,200.0,65.9672131148
